Food,Carbs,Protein,Fat,Min,Max
Chicken,0.00,21.00,2.60,100.00,400.00
Cheese,1.30,25.00,33.00,80.00,150.00
Eggs,1.10,13.00,11.00,180.00,300.00
Cauliflower,2.00,1.90,0.30,10.00,50.00
Cabbage,3.20,1.30,0.10,10.00,50.00
Brocolli,1.70,2.80,0.40,10.00,50.00
Walnut,14.00,15.00,65.00,10.00,20.00
Almond,9.00,21.00,50.00,10.00,20.00
Butter,0.10,0.90,81.00,50.00,100.00
Paneer,3.40,11.00,4.30,0.00,400.00
Cream,19.00,2.70,19.00,30.00,100.00
Mushrooms,3.10,2.30,0.30,20.00,100.00
Tomatoes,2.60,0.90,0.20,30.00,100.00
Cherry Tomatoes,1.00,4.00,0.00,10.00,100.00
Chocolate,56.00,4.90,31.00,0.00,100.00
