Food,Carbs,Protein,Fat,Min,Max,Recommended
Chicken,0.0,21.0,2.6,100.0,400.0,321.726318359375
Cheese,1.3,25.0,33.0,80.0,150.0,150.0
Eggs,1.1,13.0,11.0,180.0,300.0,300.0
Cauliflower,2.0,1.9,0.3,10.0,50.0,28.733638763427734
Cabbage,3.2,1.3,0.1,10.0,50.0,21.73810386657715
Brocolli,1.7,2.8,0.4,10.0,50.0,38.43674087524414
Walnut,14.0,15.0,65.0,10.0,20.0,12.805135726928711
Almond,9.0,21.0,50.0,10.0,20.0,20.0
Butter,0.1,0.9,81.0,50.0,100.0,50.0
Paneer,3.4,11.0,4.3,0.0,400.0,116.87828826904297
Cream,19.0,2.7,19.0,30.0,100.0,30.995426177978516
Mushrooms,3.1,2.3,0.3,20.0,100.0,42.29730987548828
Tomatoes,2.6,0.9,0.2,30.0,100.0,37.77341079711914
Cherry Tomatoes,1.0,4.0,0.0,10.0,100.0,52.00551986694336
Chocolate,56.0,4.9,31.0,0.0,100.0,8.655423164367676
